PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-155	chr11	61730313	61730575	+	1	NA	intron (ENST00000540717.1, intron 8 of 19)	protein_coding-intron (ENST00000257215.10, intron 8 of 19)	18249	ENST00000541891.1	ENSG00000124915	ENST00000541891			MYRF-AS1			lncRNA
chr19-207	chr19	35211828	35212090	+	1	NA	Intergenic	Intergenic	16780	ENST00000324675.4	ENSG00000177558	ENST00000324675			FAM187B			protein_coding
chr3-172	chr3	101724790	101725052	+	1	NA	promoter-TSS (ENST00000704444.1)	protein_coding-promoter-TSS (ENST00000704444.1)	235	ENST00000704371.1	ENSG00000182504	ENST00000341893			CEP97			protein_coding
chr1-299	chr1	23019252	23019514	+	1	NA	promoter-TSS (ENST00000356634.7)	protein_coding-promoter-TSS (ENST00000356634.7)	-60	ENST00000691404.1	ENSG00000004487	ENST00000689971			KDM1A			protein_coding
chr17-1846	chr17	8123092	8123354	+	1	NA	intron (ENST00000541682.7, intron 1 of 3)	protein_coding-intron (ENST00000317814.8, intron 1 of 3)	861	ENST00000317814.8	ENSG00000179111	ENST00000541682			HES7			protein_coding
chr2-406	chr2	174395768	174396030	+	1	NA	promoter-TSS (ENST00000342016.8)	protein_coding-promoter-TSS (ENST00000342016.8)	91	ENST00000427038.5	ENSG00000144306	ENST00000490927			SCRN3			protein_coding
chr17-1034	chr17	75723365	75723627	+	1	NA	intron (ENST00000450894.7, intron 1 of 38)	protein_coding-intron (ENST00000200181.8, intron 1 of 39)	-1208	ENST00000584558.5	ENSG00000132470	ENST00000578318			ITGB4			protein_coding
chr6-45	chr6	31665013	31665275	+	1	NA	promoter-TSS (ENST00000375880.6)	protein_coding-promoter-TSS (ENST00000375880.6)	41	ENST00000456540.1	ENSG00000204438	ENST00000445768			GPANK1			protein_coding
chr5-103	chr5	177516974	177517236	+	1	NA	promoter-TSS (ENST00000330503.12)	protein_coding-promoter-TSS (ENST00000330503.12)	-144	ENST00000330503.12	ENSG00000183258	ENST00000515562			DDX41			protein_coding
chr10-86	chr10	73495158	73495420	+	1	NA	promoter-TSS (ENST00000422977.2)	lncRNA-promoter-TSS (ENST00000422977.2)	-236	ENST00000422977.2	ENSG00000221817	ENST00000439792			PPP3CB-AS1			lncRNA
chr1-12	chr1	229221522	229221784	+	1	NA	Intergenic	Intergenic	5909	ENST00000430677.1	ENSG00000233920	ENST00000651412			ENSG00000233920			lncRNA
chr7-45	chr7	128259835	128260097	+	1	NA	Intergenic	Intergenic	4923	ENST00000608625.1	ENSG00000272915	ENST00000608625			ENSG00000272915			lncRNA
chr8-168	chr8	80874478	80874740	+	1	NA	promoter-TSS (ENST00000519936.2)	protein_coding-promoter-TSS (ENST00000519936.2)	-170	ENST00000519936.2	ENSG00000164684	ENST00000522040			ZNF704			protein_coding
chr10-49	chr10	97687348	97687610	+	1	NA	promoter-TSS (ENST00000370626.4)	protein_coding-promoter-TSS (ENST00000370626.4)	-238	ENST00000370626.4	ENSG00000119986	ENST00000370626			AVPI1			protein_coding
chr2-292	chr2	152175666	152175928	+	1	NA	promoter-TSS (ENST00000263904.5)	protein_coding-promoter-TSS (ENST00000263904.5)	-34	ENST00000263904.5	ENSG00000115145	ENST00000494589			STAM2			protein_coding
chr12-452	chr12	93441803	93442065	+	1	NA	promoter-TSS (ENST00000318066.7)	protein_coding-promoter-TSS (ENST00000318066.7)	1	ENST00000552442.1	ENSG00000177889	ENST00000549833			UBE2N			protein_coding
chr9-294	chr9	120876423	120876685	+	1	NA	promoter-TSS (ENST00000456291.1)	protein_coding-promoter-TSS (ENST00000456291.1)	-121	ENST00000456291.1	ENSG00000119403	ENST00000616568			PHF19			protein_coding
chr1-271	chr1	145845472	145845734	+	1	NA	promoter-TSS (ENST00000334513.6)	protein_coding-promoter-TSS (ENST00000334513.6)	-27	ENST00000334513.6	ENSG00000186364	ENST00000498192			NUDT17			protein_coding
chr2-293	chr2	157876247	157876509	+	1	NA	promoter-TSS (ENST00000413751.1)	protein_coding-promoter-TSS (ENST00000413751.1)	-48	ENST00000434821.7	ENSG00000115170	ENST00000434821			ACVR1			protein_coding
chr2-23	chr2	28377205	28377467	+	1	NA	Intergenic	Intergenic	-15112	ENST00000460736.1	ENSG00000075426	ENST00000436647			FOSL2			protein_coding
chr2-140	chr2	8573711	8573973	+	1	NA	intron (ENST00000702154.1, intron 6 of 6)	lncRNA-intron (ENST00000418358.1, intron 1 of 2)	1583	ENST00000685270.1	ENSG00000236008	ENST00000685893			LINC01814			lncRNA
chr21-157	chr21	43712238	43712500	+	1	NA	Intergenic	Intergenic	-6725	ENST00000398081.5	ENSG00000160209	ENST00000476313			PDXK			protein_coding
chr4-14	chr4	84582358	84582620	+	1	NA	promoter-TSS (ENST00000295887.6)	protein_coding-promoter-TSS (ENST00000295887.6)	-638	ENST00000295887.6	ENSG00000163624	ENST00000295887			CDS1			protein_coding
chr5-102	chr5	159341898	159342160	+	1	NA	intron (ENST00000641150.1, intron 2 of 4)	lncRNA-intron (ENST00000515337.1, intron 2 of 4)	-4071	ENST00000635333.1	ENSG00000249738	ENST00000641685			ENSG00000249738			lncRNA
chr5-37	chr5	139643445	139643707	+	1	NA	TTS (ENST00000606683.1)	lncRNA-TTS (ENST00000606683.1)	1426	ENST00000606683.1	ENSG00000272255	ENST00000606683			ENSG00000272255			lncRNA
chr1-218	chr1	181088376	181088638	+	1	NA	promoter-TSS (ENST00000367577.7)	protein_coding-promoter-TSS (ENST00000367577.7)	32	ENST00000690498.2	ENSG00000289589	ENST00000690498			ENSG00000289589			lncRNA
chr18-80	chr18	9757696	9757958	+	1	NA	intron (ENST00000583137.1, intron 4 of 4)	protein_coding-intron (ENST00000578734.5, intron 1 of 5)	-17460	ENST00000435762.2	ENSG00000168461	ENST00000577796			RAB31			protein_coding
chr6-38	chr6	28336035	28336297	+	1	NA	promoter-TSS (ENST00000344279.11)	protein_coding-promoter-TSS (ENST00000344279.11)	-18	ENST00000344279.11	ENSG00000235109	ENST00000481934			ZSCAN31			protein_coding
chr17-534	chr17	49230695	49230957	+	1	NA	promoter-TSS (ENST00000310544.9)	protein_coding-promoter-TSS (ENST00000310544.9)	-27	ENST00000668445.1	ENSG00000177369	ENST00000662937			FLJ40194			lncRNA
chr20-254	chr20	62482276	62482538	+	1	NA	Intergenic	Intergenic	4537	ENST00000606283.1	ENSG00000272050	ENST00000606283			ENSG00000272050			lncRNA
chr2-323	chr2	69437441	69437703	+	1	NA	promoter-TSS (ENST00000303698.7)	protein_coding-promoter-TSS (ENST00000303698.7)	56	ENST00000394305.5	ENSG00000169599	ENST00000419370			NFU1			protein_coding
chr7-38	chr7	151047082	151047344	+	1	NA	exon (ENST00000358849.9, exon 16 of 16)	protein_coding-exon (ENST00000358849.9, exon 16 of 16)	-1079	ENST00000357922.8	ENSG00000213199	ENST00000485929			ASIC3			protein_coding
chr9-324	chr9	68779894	68780156	+	1	NA	promoter-TSS (ENST00000394264.7)	protein_coding-promoter-TSS (ENST00000394264.7)	-40	ENST00000394264.7	ENSG00000187866	ENST00000394264			PABIR1			protein_coding
chr17-88	chr17	17446282	17446544	+	1	NA	Intergenic	Intergenic	-10014	ENST00000423257.1	ENSG00000230865	ENST00000423257			TSEN15P1			processed_pseudogene
chr11-51	chr11	65650608	65650870	+	1	NA	TTS (ENST00000529725.1)	protein_coding-TTS (ENST00000529725.1)	457	ENST00000528699.1	ENSG00000213445	ENST00000530226			SIPA1			protein_coding
chr9-11	chr9	109345540	109345802	+	1	NA	Intergenic	Intergenic	20986	ENST00000384599.1	ENSG00000207329	ENST00000384599			Y_RNA			misc_RNA
chr3-109	chr3	156817077	156817339	+	1	NA	promoter-TSS (ENST00000472943.5)	lncRNA-promoter-TSS (ENST00000472943.5)	-146	ENST00000473352.1	ENSG00000240875	ENST00000488584			LINC00886			lncRNA
chr1-476	chr1	112927085	112927347	+	1	NA	intron (ENST00000679846.1, intron 3 of 4)	protein_coding-intron (ENST00000369626.8, intron 2 of 4)	3793	ENST00000460134.2	ENSG00000229020	ENST00000460134			AKR7A2P1			processed_pseudogene
chr19-97	chr19	47256428	47256690	+	1	NA	promoter-TSS (ENST00000221922.11)	protein_coding-promoter-TSS (ENST00000221922.11)	34	ENST00000221922.11	ENSG00000105321	ENST00000600117			CCDC9			protein_coding
chr6-69	chr6	47477691	47477953	+	1	NA	promoter-TSS (ENST00000359314.5)	protein_coding-promoter-TSS (ENST00000359314.5)	33	ENST00000359314.5	ENSG00000198087	ENST00000486693			CD2AP			protein_coding
chr9-50	chr9	94989876	94990138	+	1	NA	intron (ENST00000479161.5, intron 7 of 10)	protein_coding-intron (ENST00000297979.9, intron 9 of 14)	-13910	ENST00000478603.5	ENSG00000148120	ENST00000478473			AOPEP			protein_coding
chr5-191	chr5	174312061	174312323	+	1	NA	Intergenic	Intergenic	-17420	ENST00000503317.1	ENSG00000249722	ENST00000503317			ENSG00000249722			lncRNA
chr20-335	chr20	57308908	57309170	+	1	NA	Intergenic	Intergenic	-2815	ENST00000516255.1	ENSG00000252064	ENST00000516255			Y_RNA			misc_RNA
chr3-331	chr3	141456385	141456647	+	1	NA	promoter-TSS (ENST00000673707.1)	lncRNA-promoter-TSS (ENST00000673707.1)	-82	ENST00000673707.1	ENSG00000288585	ENST00000673707			ENSG00000288585			lncRNA
chr1-60	chr1	166876126	166876388	+	1	NA	promoter-TSS (ENST00000367874.5)	protein_coding-promoter-TSS (ENST00000367874.5)	7	ENST00000367874.5	ENSG00000152382	ENST00000367874			TADA1			protein_coding
chr3-91	chr3	14225057	14225319	+	1	NA	Intergenic	Intergenic	46371	ENST00000306024.4	ENSG00000170860	ENST00000306024			LSM3			protein_coding
chr14-200	chr14	105631991	105632253	+	1	NA	Intergenic	Intergenic	-6056	ENST00000641978.1	ENSG00000211892	ENST00000390543			IGHG4			IG_C_gene
chr7-272	chr7	149090761	149091023	+	1	NA	promoter-TSS (ENST00000316286.13)	protein_coding-promoter-TSS (ENST00000316286.13)	-110	ENST00000316286.13	ENSG00000197362	ENST00000491431			ZNF786			protein_coding
chr12-102	chr12	124480909	124481171	+	1	NA	intron (ENST00000542927.5, intron 1 of 6)	protein_coding-intron (ENST00000404621.5, intron 4 of 46)	2729	ENST00000448008.1	ENSG00000196498	ENST00000413172			NCOR2			protein_coding
chr14-308	chr14	105021049	105021311	+	1	NA	promoter-TSS (ENST00000336219.4)	protein_coding-promoter-TSS (ENST00000336219.4)	-97	ENST00000336219.4	ENSG00000170779	ENST00000392590			CDCA4			protein_coding
chr11-119	chr11	1150904	1151166	+	1	NA	Intergenic	Intergenic	-6918	ENST00000621226.2	ENSG00000215182	ENST00000621226			MUC5AC			protein_coding
chr1-716	chr1	120069411	120069673	+	1	NA	promoter-TSS (ENST00000479412.2)	protein_coding-promoter-TSS (ENST00000479412.2)	74	ENST00000652302.1	ENSG00000134250	ENST00000652302			NOTCH2			protein_coding
chr13-283	chr13	98416496	98416758	+	1	NA	intron (ENST00000627049.2, intron 16 of 27)	protein_coding-intron (ENST00000319562.11, intron 16 of 26)	12556	ENST00000457029.3	ENSG00000152767	ENST00000595437			FARP1			protein_coding
chr7-6	chr7	155961906	155962168	+	1	NA	promoter-TSS (ENST00000377722.2)	lncRNA-promoter-TSS (ENST00000377722.2)	-595	ENST00000377722.2	ENSG00000204876	ENST00000684576			ENSG00000204876			lncRNA
chr6-6	chr6	17600204	17600466	+	1	NA	promoter-TSS (ENST00000259963.4)	protein_coding-promoter-TSS (ENST00000259963.4)	-28	ENST00000688732.1	ENSG00000137414	ENST00000688732			FAM8A1			protein_coding
chr19-3	chr19	44753352	44753614	+	1	NA	intron (ENST00000444487.1, intron 1 of 7)	protein_coding-intron (ENST00000164227.10, intron 2 of 8)	-1666	ENST00000473468.1	ENSG00000069399	ENST00000473468			BCL3			protein_coding
chr3-289	chr3	150221303	150221565	+	1	NA	intron (ENST00000474444.1, intron 3 of 5)	lncRNA-intron (ENST00000474444.1, intron 3 of 5)	3756	ENST00000474444.1	ENSG00000241048	ENST00000474444			ENSG00000241048			lncRNA
chr2-115	chr2	9555930	9556192	+	1	NA	promoter-TSS (ENST00000310823.8)	protein_coding-promoter-TSS (ENST00000310823.8)	162	ENST00000607241.1	ENSG00000271855	ENST00000607241			ENSG00000271855			lncRNA
chr19-93	chr19	39112451	39112713	+	1	NA	Intergenic	Intergenic	-13188	ENST00000602004.1	ENSG00000130669	ENST00000321944			PAK4			protein_coding
chr21-72	chr21	42009129	42009391	+	1	NA	promoter-TSS (ENST00000412906.5)	lncRNA-promoter-TSS (ENST00000412906.5)	66	ENST00000412906.5	ENSG00000237232	ENST00000676145			ZNF295-AS1			lncRNA
chr3-220	chr3	157499448	157499710	+	1	NA	promoter-TSS (ENST00000392832.6)	protein_coding-promoter-TSS (ENST00000392832.6)	-24	ENST00000483440.1	ENSG00000197415	ENST00000362010			VEPH1			protein_coding
chr2-87	chr2	84459357	84459619	+	1	NA	promoter-TSS (ENST00000393868.7)	protein_coding-promoter-TSS (ENST00000393868.7)	-84	ENST00000687957.2	ENSG00000289076	ENST00000687957			ENSG00000289076			lncRNA
chr10-21	chr10	9188375	9188637	+	1	NA	Intergenic	Intergenic	-87327	ENST00000458168.1	ENSG00000230014	ENST00000458168			LINC00709			lncRNA
chr6-65	chr6	17706835	17707097	+	1	NA	promoter-TSS (ENST00000262077.3)	protein_coding-promoter-TSS (ENST00000262077.3)	-41	ENST00000262077.3	ENSG00000124789	ENST00000613258			NUP153			protein_coding
chr3-2017	chr3	179347483	179347745	+	1	NA	promoter-TSS (ENST00000357390.8)	protein_coding-promoter-TSS (ENST00000357390.8)	-95	ENST00000471841.6	ENSG00000171109	ENST00000357390			MFN1			protein_coding
chr3-161	chr3	136196769	136197031	+	1	NA	promoter-TSS (ENST00000309993.3)	protein_coding-promoter-TSS (ENST00000309993.3)	-35	ENST00000703105.1	ENSG00000174579	ENST00000481989			MSL2			protein_coding
chr8-117	chr8	102487897	102488159	+	1	NA	Intergenic	Intergenic	-15725	ENST00000489699.2	ENSG00000240724	ENST00000489699			RPS12P15			processed_pseudogene
chr19-129	chr19	51044438	51044700	+	1	NA	intron (ENST00000601280.1, intron 1 of 1)	lncRNA-intron (ENST00000601280.1, intron 1 of 1)	763	ENST00000601280.1	ENSG00000268390	ENST00000601280			ENSG00000268390			lncRNA
chr17-469	chr17	3846170	3846432	+	1	NA	promoter-TSS (ENST00000389005.6)	protein_coding-promoter-TSS (ENST00000389005.6)	-55	ENST00000389005.6	ENSG00000074356	ENST00000576523			NCBP3			protein_coding
chr22-74	chr22	19935242	19935504	+	1	NA	intron (ENST00000701986.1, intron 1 of 2)	protein_coding-intron (ENST00000334363.14, intron 1 of 11)	1712	ENST00000701986.1	ENSG00000289946	ENST00000701986			ENSG00000289946			lncRNA
chr15-22	chr15	59657393	59657655	+	1	NA	promoter-TSS (ENST00000267869.8)	protein_coding-promoter-TSS (ENST00000267869.8)	-3	ENST00000559706.1	ENSG00000140307	ENST00000484743			GTF2A2			protein_coding
chr3-1157	chr3	150763478	150763740	+	1	NA	promoter-TSS (ENST00000312960.4)	protein_coding-promoter-TSS (ENST00000312960.4)	36	ENST00000693001.2	ENSG00000289005	ENST00000693001			ENSG00000289005			lncRNA
chr8-502	chr8	108443422	108443684	+	1	NA	promoter-TSS (ENST00000220853.8)	protein_coding-promoter-TSS (ENST00000220853.8)	-48	ENST00000524143.5	ENSG00000104412	ENST00000524143			EMC2			protein_coding
chr19-179	chr19	10749184	10749446	+	1	NA	intron (ENST00000586939.5, intron 1 of 4)	protein_coding-intron (ENST00000355667.11, intron 1 of 20)	-5806	ENST00000588976.1	ENSG00000079805	ENST00000591118			DNM2			protein_coding
chr12-191	chr12	46269038	46269300	+	1	NA	promoter-TSS (ENST00000398637.10)	protein_coding-promoter-TSS (ENST00000398637.10)	-50	ENST00000546893.5	ENSG00000111371	ENST00000398637			SLC38A1			protein_coding
chr19-53	chr19	2463006	2463268	+	1	NA	promoter-TSS (ENST00000587826.1)	lncRNA-promoter-TSS (ENST00000587826.1)	-952	ENST00000587826.1	ENSG00000267201	ENST00000587826			LINC01775			lncRNA
chr11-79	chr11	47248690	47248952	+	1	NA	promoter-TSS (ENST00000256997.9)	protein_coding-promoter-TSS (ENST00000256997.9)	-2	ENST00000527256.7	ENSG00000134575	ENST00000672728			ACP2			protein_coding
chr3-429	chr3	37176305	37176567	+	1	NA	promoter-TSS (ENST00000354379.8)	protein_coding-promoter-TSS (ENST00000354379.8)	49	ENST00000702636.1	ENSG00000290046	ENST00000702636			ENSG00000290046			lncRNA
chr1-431	chr1	185156702	185156964	+	1	NA	promoter-TSS (ENST00000367500.9)	protein_coding-promoter-TSS (ENST00000367500.9)	120	ENST00000367506.10	ENSG00000121486	ENST00000465827			TRMT1L			protein_coding
chr15-104	chr15	89782368	89782630	+	1	NA	Intergenic	Intergenic	6167	ENST00000341735.5	ENSG00000188095	ENST00000560219			MESP2			protein_coding
chr14-10	chr14	93017447	93017709	+	1	NA	intron (ENST00000555495.5, intron 1 of 8)	protein_coding-intron (ENST00000267615.11, intron 3 of 10)	-18639	ENST00000553695.5	ENSG00000100605	ENST00000555495			ITPK1			protein_coding
chr4-46	chr4	87422520	87422782	+	1	NA	promoter-TSS (ENST00000302174.9)	protein_coding-promoter-TSS (ENST00000302174.9)	-30	ENST00000514227.1	ENSG00000170502	ENST00000514345			NUDT9			protein_coding
chr19-262	chr19	57240496	57240758	+	1	NA	promoter-TSS (ENST00000354309.4)	protein_coding-promoter-TSS (ENST00000354309.4)	-5	ENST00000414468.3	ENSG00000204524	ENST00000354309			ZNF805			protein_coding
chr15-23	chr15	75202361	75202623	+	1	NA	intron (ENST00000564848.1, intron 1 of 1)	protein_coding-intron (ENST00000360639.6, intron 1 of 2)	287	ENST00000564848.1	ENSG00000167173	ENST00000563905			C15orf39			protein_coding
chr12-167	chr12	38056946	38057208	+	1	NA	Intergenic	Intergenic	21922	ENST00000549020.1	ENSG00000257173	ENST00000549020			AK6P2			processed_pseudogene
chr1-341	chr1	31181519	31181781	+	1	NA	promoter-TSS (ENST00000528449.1)	protein_coding-promoter-TSS (ENST00000528449.1)	26	ENST00000528449.1	ENSG00000084628	ENST00000530145			NKAIN1			protein_coding
chr20-8	chr20	50790747	50791009	+	1	NA	Intergenic	Intergenic	-4016	ENST00000358791.9	ENSG00000124243	ENST00000485049			BCAS4			protein_coding
chr5-24	chr5	302116	302378	+	1	NA	intron (ENST00000618970.4, intron 2 of 3)	protein_coding-intron (ENST00000264933.9, intron 2 of 5)	-1937	ENST00000512529.6	ENSG00000288622	ENST00000512529			PDCD6-AHRR			protein_coding
chr1-259	chr1	44807197	44807459	+	1	NA	promoter-TSS (ENST00000339355.3)	protein_coding-promoter-TSS (ENST00000339355.3)	23	ENST00000339355.3	ENSG00000188396	ENST00000339355			DYNLT4			protein_coding
chr5-130	chr5	129094211	129094473	+	1	NA	promoter-TSS (ENST00000173527.6)	protein_coding-promoter-TSS (ENST00000173527.6)	-407	ENST00000173527.6	ENSG00000066583	ENST00000173527			ISOC1			protein_coding
chr6-89	chr6	43856211	43856473	+	1	NA	Intergenic	Intergenic	-4009	ENST00000451910.1	ENSG00000223469	ENST00000451910			ENSG00000223469			lncRNA
chr1-40	chr1	151190062	151190324	+	1	NA	promoter-TSS (ENST00000354473.4)	protein_coding-promoter-TSS (ENST00000354473.4)	4	ENST00000368892.9	ENSG00000163159	ENST00000368892			VPS72			protein_coding
chr8-97	chr8	124526716	124526978	+	1	NA	intron (ENST00000523888.5, intron 1 of 6)	protein_coding-intron (ENST00000276692.11, intron 1 of 11)	-3368	ENST00000518133.5	ENSG00000147687	ENST00000518485			TATDN1			protein_coding
chr6-4	chr6	17389374	17389636	+	1	NA	Intergenic	Intergenic	-4090	ENST00000229922.7	ENSG00000112186	ENST00000493172			CAP2			protein_coding
chr7-4	chr7	151232311	151232573	+	1	NA	promoter-TSS (ENST00000035307.7)	protein_coding-promoter-TSS (ENST00000035307.7)	-41	ENST00000035307.7	ENSG00000033100	ENST00000495645			CHPF2			protein_coding
chr16-210	chr16	28950651	28950913	+	1	NA	promoter-TSS (ENST00000320805.9)	protein_coding-promoter-TSS (ENST00000320805.9)	-25	ENST00000564978.5	ENSG00000176953	ENST00000564978			NFATC2IP			protein_coding
chr16-318	chr16	1630836	1631098	+	1	NA	intron (ENST00000397412.8, intron 3 of 20)	protein_coding-intron (ENST00000293925.9, intron 2 of 19)	-1292	ENST00000454337.1	ENSG00000261732	ENST00000454337			ENSG00000261732			protein_coding
chr11-221	chr11	63558643	63558905	+	1	NA	intron (ENST00000255695.2, intron 2 of 3)	protein_coding-intron (ENST00000255695.2, intron 2 of 3)	4605	ENST00000255695.2	ENSG00000133328	ENST00000255695			PLAAT2			protein_coding
chr2-253	chr2	111698912	111699174	+	1	NA	promoter-TSS (ENST00000644013.1)	lncRNA-promoter-TSS (ENST00000644013.1)	-10	ENST00000644013.1	ENSG00000285016	ENST00000645914			ENSG00000285016			lncRNA
chr7-8	chr7	92133755	92134017	+	1	NA	promoter-TSS (ENST00000453068.1)	lncRNA-promoter-TSS (ENST00000453068.1)	591	ENST00000003100.13	ENSG00000001630	ENST00000422867			CYP51A1			protein_coding
chr6-8	chr6	135259084	135259346	+	1	NA	promoter-TSS (ENST00000434255.1)	lncRNA-promoter-TSS (ENST00000434255.1)	-781	ENST00000434255.1	ENSG00000224374	ENST00000434255			ENSG00000224374			lncRNA
chr7-261	chr7	88227029	88227291	+	1	NA	promoter-TSS (ENST00000394641.7)	protein_coding-promoter-TSS (ENST00000394641.7)	-167	ENST00000394641.7	ENSG00000075142	ENST00000265729			SRI			protein_coding
chr6-49	chr6	32129955	32130217	+	1	NA	intron (ENST00000375156.4, intron 1 of 1)	protein_coding-intron (ENST00000375156.4, intron 1 of 1)	202	ENST00000375156.4	ENSG00000204315	ENST00000375156			FKBPL			protein_coding
chr1-80	chr1	120723655	120723917	+	1	NA	promoter-TSS (ENST00000620612.6)	protein_coding-promoter-TSS (ENST00000620612.6)	-126	ENST00000690847.1	ENSG00000286106	ENST00000624419			NOTCH2NLR			protein_coding
chr1-450	chr1	6471451	6471713	+	1	NA	promoter-TSS (ENST00000487949.4)	protein_coding-promoter-TSS (ENST00000487949.4)	1	ENST00000487949.4	ENSG00000171680	ENST00000674803			PLEKHG5			protein_coding
chr17-195	chr17	82414757	82415019	+	1	NA	intron (ENST00000583897.5, intron 1 of 6)	protein_coding-intron (ENST00000313056.10, intron 2 of 8)	628	ENST00000583897.5	ENSG00000181396	ENST00000582146			OGFOD3			protein_coding
chr16-44	chr16	75029832	75030094	+	1	NA	intron (ENST00000568511.1, intron 1 of 3)	protein_coding-intron (ENST00000320619.10, intron 1 of 5)	27666	ENST00000568511.1	ENSG00000186187	ENST00000568494			ZNRF1			protein_coding
chr7-49	chr7	100612123	100612385	+	1	NA	promoter-TSS (ENST00000379527.6)	protein_coding-promoter-TSS (ENST00000379527.6)	70	ENST00000490309.1	ENSG00000106330	ENST00000462372			MOSPD3			protein_coding
chr14-45	chr14	96195045	96195307	+	1	NA	Intergenic	Intergenic	-9503	ENST00000542454.2	ENSG00000168398	ENST00000554311			BDKRB2			protein_coding
chr2-252	chr2	108786685	108786947	+	1	NA	promoter-TSS (ENST00000295124.9)	protein_coding-promoter-TSS (ENST00000295124.9)	28	ENST00000447782.1	ENSG00000163006	ENST00000447782			CCDC138			protein_coding
chr17-1657	chr17	47649199	47649461	+	1	NA	promoter-TSS (ENST00000290158.9)	protein_coding-promoter-TSS (ENST00000290158.9)	72	ENST00000582389.5	ENSG00000263766	ENST00000580045			KPNB1-DT			lncRNA
chr9-810	chr9	125428206	125428468	+	1	NA	intron (ENST00000655188.1, intron 1 of 2)	lncRNA-intron (ENST00000655188.1, intron 1 of 2)	2168	ENST00000655188.1	ENSG00000287782	ENST00000655188			ENSG00000287782			lncRNA
